"AMOUNT","CASE","CREATED_AT","MERCHANT","RISK_SCORE","USER_ACCOUNT_AGGREGATE_ORDER_COUNT"
"55.98","544419839","2018-01-24","155","42.7",""
"2.0","521598588","2018-01-01","2209","33.77","11830"
"10.0","541910894","2018-01-22","8743","45.54","5"
"10.0","547707800","2018-01-28","8743","46.04","62"
"10.0","531691092","2018-01-11","8743","47.22","469"
"5.8","523849484","2018-01-03","7625","47.35","7"
"9.0","533318048","2018-01-13","8743","46.9","314"
"98.0","544055415","2018-01-24","7625","29.45","10"
"8.0","522206789","2018-01-02","8743","46.04","9"
"12.0","533760350","2018-01-13","8743","49.07","155"
"8.95","531960857","2018-01-11","7625","49.75","22"
"4.0","531121421","2018-01-10","7625","25.59","16"
"54.37","526951352","2018-01-06","155","24.27",""
"4.08","543602813","2018-01-23","7625","26.87","13"
"19.0","541085319","2018-01-21","8743","43.09","27"
"1.25","542823120","2018-01-23","7625","28.94","1"
"2.0","521468476","2018-01-01","7625","48.27","22"
"2.0","541896416","2018-01-22","7625","28.29","103"
"7.1","526265579","2018-01-06","1632","42.02",""
"2.0","544924795","2018-01-25","2209","30.97","12404"
"10.0","542432891","2018-01-22","8743","47.41","23"
"996.35","524494301","2018-01-04","8886","35.22",""
"2215.95","542761687","2018-01-22","155","46.54",""
"111.67","530565373","2018-01-10","7625","29.8","1"
"22.0","528691457","2018-01-08","8743","44.31","640"
"12.0","534463870","2018-01-14","8743","49.6","629"
"61.75","541921289","2018-01-22","7625","35.78","21"
"4.0","522115636","2018-01-01","7625","29.62","6"
"18.0","541997840","2018-01-22","8743","41.63","13"
"59.44","524895324","2018-01-04","15135","31.63","5"
"3.43","547305471","2018-01-27","7625","29.51","1"
"9.0","546112202","2018-01-26","8743","46.87","92"
"8.81","541969655","2018-01-22","14731","45.65","20"
"10.0","549054404","2018-01-29","8743","48.09","38"
"114.0","543202714","2018-01-23","7863","46.03","1"
"4.0","531209036","2018-01-11","7625","27.47","2"
"5.4","531746419","2018-01-11","7625","47.31","9"
"14.0","541978814","2018-01-21","1632","43.84",""
"8.0","544674868","2018-01-25","8743","49.05","30"
"7.0","546355110","2018-01-26","8743","49.08","107"
"16.0","521463388","2018-01-01","7625","49.22","18"
"133.58","542946804","2018-01-23","12366","18.12","0"
"22.8","542958573","2018-01-23","1278","45.68","33"
"11.0","534901513","2018-01-14","8743","46.8","138"
"25.89","522117788","2018-01-01","7625","23.89","1"
"122.47","549147675","2018-01-29","7625","26.42","1"
"33.1","531473360","2018-01-11","7863","34.53","2"
"6.16","546663077","2018-01-27","7625","46.61","16"
"134.72","535556258","2018-01-15","7625","27.54","1"
