case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
544419839,24/01/2018,$55.98,42.7,,155
521598588,01/01/2018,$2,33.77,11830,2209
541910894,22/01/2018,$10,45.54,5,8743
547707800,28/01/2018,$10,46.04,62,8743
531691092,11/01/2018,$10,47.22,469,8743
523849484,03/01/2018,$5.8,47.35,7,7625
533318048,13/01/2018,$9,46.9,314,8743
544055415,24/01/2018,$98,29.45,10,7625
522206789,02/01/2018,$8,46.04,9,8743
533760350,13/01/2018,$12,49.07,155,8743
531960857,11/01/2018,$8.95,49.75,22,7625
531121421,10/01/2018,$4,25.59,16,7625
526951352,06/01/2018,$54.37,24.27,,155
543602813,23/01/2018,$4.08,26.87,13,7625
541085319,21/01/2018,$19,43.09,27,8743
542823120,23/01/2018,$1.25,28.94,1,7625
521468476,01/01/2018,$2,48.27,22,7625
541896416,22/01/2018,$2,28.29,103,7625
526265579,06/01/2018,$7.1,42.02,,1632
544924795,25/01/2018,$2,30.97,12404,2209
542432891,22/01/2018,$10,47.41,23,8743
524494301,04/01/2018,$996.35,35.22,,8886
542761687,22/01/2018,$2215.95,46.54,,155
530565373,10/01/2018,$111.67,29.8,1,7625
528691457,08/01/2018,$22,44.31,640,8743
534463870,14/01/2018,$12,49.6,629,8743
541921289,22/01/2018,$61.75,35.78,21,7625
522115636,01/01/2018,$4,29.62,6,7625
541997840,22/01/2018,$18,41.63,13,8743
524895324,04/01/2018,$59.44,31.63,5,15135
547305471,27/01/2018,$3.43,29.51,1,7625
546112202,26/01/2018,$9,46.87,92,8743
541969655,22/01/2018,$8.81,45.65,20,14731
549054404,29/01/2018,$10,48.09,38,8743
543202714,23/01/2018,$114,46.03,1,7863
531209036,11/01/2018,$4,27.47,2,7625
531746419,11/01/2018,$5.4,47.31,9,7625
541978814,21/01/2018,$14,43.84,,1632
544674868,25/01/2018,$8,49.05,30,8743
546355110,26/01/2018,$7,49.08,107,8743
521463388,01/01/2018,$16,49.22,18,7625
542946804,23/01/2018,$133.58,18.12,0,12366
542958573,23/01/2018,$22.8,45.68,33,1278
534901513,14/01/2018,$11,46.8,138,8743
522117788,01/01/2018,$25.89,23.89,1,7625
549147675,29/01/2018,$122.47,26.42,1,7625
531473360,11/01/2018,$33.1,34.53,2,7863
546663077,27/01/2018,$6.16,46.61,16,7625
535556258,15/01/2018,$134.72,27.54,1,7625
536819031,16/01/2018,$11.81,22.79,10,7625
548035218,28/01/2018,$10,49.53,6,8743
535810652,15/01/2018,$7,47.07,126,8743
543206245,23/01/2018,$3,29.45,12,7625
539345825,19/01/2018,$11.48,27.4,1,7625
525601077,05/01/2018,$463,37.06,,8886
547949491,28/01/2018,$2.28,47.89,69,7625
523770588,03/01/2018,$5,47.78,,1632
531514316,11/01/2018,$100.67,26.52,2,7625
539187109,19/01/2018,$9,46.69,216,8743
547758564,28/01/2018,$4,46.27,86,8743
534584374,14/01/2018,$26,18.75,5,7625
541865049,22/01/2018,$2,25.18,5,7625
549200482,29/01/2018,$17.58,26.51,1,7625
534706486,14/01/2018,$6,47.78,43,8743
544663039,25/01/2018,$23.5,21.8,7,7625
539191222,19/01/2018,$7.32,28.22,1,7625
544144051,24/01/2018,$35.94,24.9,1,133
536210730,16/01/2018,$22.42,27.96,3,7625
526664724,06/01/2018,$8.83,26.92,5,7625
534701354,14/01/2018,$107,29.94,2,7625
525327583,05/01/2018,$9,28.98,6,7625
534704407,14/01/2018,$7,49.27,38,8743
538199607,18/01/2018,$14,48.13,7,8743
549206691,29/01/2018,$5.7,43.01,8,7625
546872764,27/01/2018,$2.48,42.49,6,7625
541725086,21/01/2018,$16.65,45.04,23,7625
521976300,01/01/2018,$134,28.1,1,7625
529724862,09/01/2018,$2,48.27,32,8743
538235481,18/01/2018,$26.6,28.89,5,7625
539030532,19/01/2018,$8,49.15,211,8743
549132737,29/01/2018,$19,41.48,1,7625
527715130,07/01/2018,$4,42.8,5,7625
546341396,26/01/2018,$2,28.18,2,7625
535304039,15/01/2018,$9.63,43.03,7,7625
538237022,18/01/2018,$21,45.95,24,8743
533990462,13/01/2018,$1,42.25,2,7625
522124257,01/01/2018,$17,46.46,118,8743
542423693,22/01/2018,$177.46,35.5,,155
534532241,14/01/2018,$6,47.35,2,7625
524233113,04/01/2018,$13.55,45.88,79,7625
531985639,11/01/2018,$68.76,22.38,4,7625
522685398,02/01/2018,$4,49.26,108,8743
525011052,04/01/2018,$1.9,43.49,3,7625
538226692,18/01/2018,$10,45.93,8,7625
548583405,29/01/2018,$3,49.84,36,8743
548467370,29/01/2018,$1.95,49.68,195,7625
542957185,23/01/2018,$3,26.56,2,7625
546631142,27/01/2018,$401.42,30.1,,8886
541782187,21/01/2018,$1.25,27.01,1,7625
544670180,25/01/2018,$6,45.83,155,8743
543754054,24/01/2018,$165,29.43,1,7625
528623133,08/01/2018,$3.15,47.56,28,7625
543893896,24/01/2018,$7.36,48.67,13,7625
541505748,21/01/2018,$23.75,46.26,37,7625
534162385,14/01/2018,$31,45.7,10,8743
541909665,22/01/2018,$14.05,29.7,5,7625
525776608,05/01/2018,$2,47.43,20,8743
535986206,15/01/2018,$989,35.92,,6189
531131600,10/01/2018,$8.82,47.77,18,14731
