case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
544419839,2018-01-24,55.98,42.70,,155
521598588,2018-01-01,2.00,33.77,11830,2209
541910894,2018-01-22,10.00,45.54,5,8743
547707800,2018-01-28,10.00,46.04,62,8743
531691092,2018-01-11,10.00,47.22,469,8743
523849484,2018-01-03,5.80,47.35,7,7625
533318048,2018-01-13,9.00,46.90,314,8743
544055415,2018-01-24,98.00,29.45,10,7625
522206789,2018-01-02,8.00,46.04,9,8743
533760350,2018-01-13,12.00,49.07,155,8743
531960857,2018-01-11,8.95,49.75,22,7625
531121421,2018-01-10,4.00,25.59,16,7625
526951352,2018-01-06,54.37,24.27,,155
543602813,2018-01-23,4.08,26.87,13,7625
541085319,2018-01-21,19.00,43.09,27,8743
542823120,2018-01-23,1.25,28.94,1,7625
521468476,2018-01-01,2.00,48.27,22,7625
541896416,2018-01-22,2.00,28.29,103,7625
526265579,2018-01-06,7.10,42.02,,1632
544924795,2018-01-25,2.00,30.97,12404,2209
542432891,2018-01-22,10.00,47.41,23,8743
524494301,2018-01-04,996.35,35.22,,8886
542761687,2018-01-22,2215.95,46.54,,155
530565373,2018-01-10,111.67,29.80,1,7625
528691457,2018-01-08,22.00,44.31,640,8743
534463870,2018-01-14,12.00,49.60,629,8743
541921289,2018-01-22,61.75,35.78,21,7625
522115636,2018-01-01,4.00,29.62,6,7625
541997840,2018-01-22,18.00,41.63,13,8743
524895324,2018-01-04,59.44,31.63,5,15135
547305471,2018-01-27,3.43,29.51,1,7625
546112202,2018-01-26,9.00,46.87,92,8743
541969655,2018-01-22,8.81,45.65,20,14731
549054404,2018-01-29,10.00,48.09,38,8743
543202714,2018-01-23,114.00,46.03,1,7863
531209036,2018-01-11,4.00,27.47,2,7625
531746419,2018-01-11,5.40,47.31,9,7625
541978814,2018-01-21,14.00,43.84,,1632
544674868,2018-01-25,8.00,49.05,30,8743
546355110,2018-01-26,7.00,49.08,107,8743
521463388,2018-01-01,16.00,49.22,18,7625
542946804,2018-01-23,133.58,18.12,0,12366
542958573,2018-01-23,22.80,45.68,33,1278
534901513,2018-01-14,11.00,46.80,138,8743
522117788,2018-01-01,25.89,23.89,1,7625
549147675,2018-01-29,122.47,26.42,1,7625
531473360,2018-01-11,33.10,34.53,2,7863
546663077,2018-01-27,6.16,46.61,16,7625
535556258,2018-01-15,134.72,27.54,1,7625
536819031,2018-01-16,11.81,22.79,10,7625
548035218,2018-01-28,10.00,49.53,6,8743
535810652,2018-01-15,7.00,47.07,126,8743
543206245,2018-01-23,3.00,29.45,12,7625
539345825,2018-01-19,11.48,27.40,1,7625
525601077,2018-01-05,463.00,37.06,,8886
547949491,2018-01-28,2.28,47.89,69,7625
523770588,2018-01-03,5.00,47.78,,1632
531514316,2018-01-11,100.67,26.52,2,7625
539187109,2018-01-19,9.00,46.69,216,8743
547758564,2018-01-28,4.00,46.27,86,8743
534584374,2018-01-14,26.00,18.75,5,7625
541865049,2018-01-22,2.00,25.18,5,7625
549200482,2018-01-29,17.58,26.51,1,7625
534706486,2018-01-14,6.00,47.78,43,8743
544663039,2018-01-25,23.50,21.80,7,7625
539191222,2018-01-19,7.32,28.22,1,7625
544144051,2018-01-24,35.94,24.90,1,133
536210730,2018-01-16,22.42,27.96,3,7625
526664724,2018-01-06,8.83,26.92,5,7625
534701354,2018-01-14,107.00,29.94,2,7625
525327583,2018-01-05,9.00,28.98,6,7625
534704407,2018-01-14,7.00,49.27,38,8743
538199607,2018-01-18,14.00,48.13,7,8743
549206691,2018-01-29,5.70,43.01,8,7625
546872764,2018-01-27,2.48,42.49,6,7625
541725086,2018-01-21,16.65,45.04,23,7625
521976300,2018-01-01,134.00,28.10,1,7625
529724862,2018-01-09,2.00,48.27,32,8743
538235481,2018-01-18,26.60,28.89,5,7625
539030532,2018-01-19,8.00,49.15,211,8743
549132737,2018-01-29,19.00,41.48,1,7625
527715130,2018-01-07,4.00,42.80,5,7625
546341396,2018-01-26,2.00,28.18,2,7625
535304039,2018-01-15,9.63,43.03,7,7625
